,Key,Name,Level,Series,URL,Date,Video,ImageURL,Description
10,4672,孙子兵法-计篇(节选),Advanced,Advanced,https://chinesepod.com/lesson-redirect?v3id=4672,2019-12-12,False,https://s3contents.chinesepod.com/4672/f9e17767e84c00f87b4340eeb59c55e2970077d8/images/221055622415923fb84e20daa83c62b7a922fefc.jpg,这节课我们为大家带来《孙子兵法 计篇》的节选，或者叫《孙子兵法 始计篇》。作为孙子兵法的第一篇，计篇非常简洁、概括，重点是开战之前理论上的“计算、计划”，强调对敌我情况的分析和比较。一起来学习吧！
11,4422,语法课程：“了解”和“理解”,Upper Intermediate,Upper Intermediate,https://chinesepod.com/lesson-redirect?v3id=4422,2019-12-09,False,https://s3contents.chinesepod.com/4422/ebbcaa0564a022609e164689e65176cc097aef05/images/608938248796d296df48389a275fba49cc14dca3.jpg,"当你向别人提出一个问题，对方可能回答：“不好意思，这个问题……我不太了解。”或者是：“不好意思，您的问题我不太理解。”

“了解”和“理解”，一字之差，意思却不同。第一种回答的意思是，对方不熟悉、不知道问题的答案。第二种的意思是，对方没有听懂你的问题，你可以重复一次、或者解释你的问题。
通过这节语法课程，我们一起来学习“了解”和“理解”的用法！"
12,4244,Introduction to HSK Test Prep,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4244,2019-12-04,True,https://s3contents.chinesepod.com/4244/2284a53a611d752415aa0bec5517dc2c47bc8bc5/images/1c534cc8dfce222a052668dc1ee53c616987eaa6.jpg,"In the ChinesePod HSK Test Prep series, we will focus on the HSK level 1 test. This series has a total of 12 lessons. Check out our Pinyin program first, then follow us through our HSK Level 1 series. Let’s start this wonderful journey together!!


 
Pinyin Program: https://chinesepod.com/tools/pronunciation/
 
Say it right series: https://chinesepod.com/playlist/say-it-right/welcome/"
13,4254,Lesson 10 - Don’t Pee On Grandpa Tree,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4254,2019-12-04,True,https://s3contents.chinesepod.com/4254/4f5b64da6d800cac06eb8d4896af467b8f197ce2/images/de7cdf121d4024a2238a1640327c63615df4acb7.jpg,"In this dialogue, we will catch a glimpse of the feud of Grandpa tree and the dog. Why doesn't Grandpa tree like the dog? What happened between them?  Along the way, you will learn how to say your age, your date of birth. Let's see how it unravels in today's lesson!"
14,4256,Lesson 12 - Literally I Love You,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4256,2019-12-04,True,https://s3contents.chinesepod.com/4256/f2f017d7bb804f2a90561f744efeaaae11b3fd0a/images/b44fd202ccf5755e709637e7ad838a84463d8d3d.jpg,"In this lesson, we're going to learn a very important phrase when learning Chinese, and that is 'I love you'. When it comes to love, there's always a choice that has to be made. Out of a computer, a book, and a TV, which one do you think the girl love the most? Check out the video and find out!"
15,4255,Lesson 11 - Try Me Doc.,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4255,2019-12-04,True,https://s3contents.chinesepod.com/4255/7e474d4788a1b1df51c8b84106896591929c61a6/images/3a51ebddf32a265071f4f715a21c0c7ce0912d99.jpg,"In today's dialogue, the doctor is disobeying her own orders by taking a bite of something she's not supposed to eat...Want to know what it is? Check out the lesson and learn the usage of 'verb 不 verb questions' along the way!"
16,4252,Lesson 8 - Sister Come Home,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4252,2019-12-04,True,https://s3contents.chinesepod.com/4252/e347754f6b1f5cd4a7893f8cb0b5483c97f5eb04/images/e253a088e7a56d00b72aa79a4a7490433ee3b9be.jpg,"In today's dialogue, we are going to listen to a conversation between a girl and a prodigal 'horse', and you will learn a sentence pattern to express 'to do sth. together' using 和 and 一起. Let's see what happens!"
17,4253,Lesson 9 - Care For A Drink,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4253,2019-12-04,True,https://s3contents.chinesepod.com/4253/8b303e7ef64ec8d4acb15a76d4dc1f231281e9e3/images/c1a73158d4cc12409adfedb505da15ff1decc312.jpg,"A fight for a girl's attention between a cup and a glass has taken place. The former is an advocate for hot tea, and the latter is a spokesperson for cold water. Which side are you on? Come find out who is the winner of the girl's heart in today's lesson."
18,4249,Lesson 5 - Hungry Washer,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4249,2019-12-04,True,https://s3contents.chinesepod.com/4249/f3aebf4ba3623ee94ca99d0c16e19ace10af62df/images/43ea6dec4cb403a65184675bf96f7388a4470df3.jpg,Oh no! A hungry washer is eating all of the laundry! How are we going to stop him? Well the answer lies in today's lesson. Let's see how to say 'That's not allowed' using the word 可以. Let's check it out!
19,4251,Lesson 7 - Weather Woes,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4251,2019-12-04,True,https://s3contents.chinesepod.com/4251/5f46e815123255d5a23f4bbe262048bfa4a1ef6f/images/0af448047b9fa4dedb8acf8b60073f05d9d623a8.jpg,"Have you ever wondered what makes it rain? In this lesson, you're going to learn how to use 给 to express 'to give' and the real cause of rain. Spoiler alert, it might be a little different from what you learned in science class."
20,4250,Lesson 6 - Buying Some Good Stuff,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4250,2019-12-04,True,https://s3contents.chinesepod.com/4250/94692618dce5fdd654bf12c6c6b6202afe19e0ea/images/4de256e7facb895d5966c9fdcde2a2b459dcd024.jpg,"Footsteps in the dark. Whispers in a call. Oh no, something shady is going down in today's dialogue. Fear not, you can still learn some Chinese during this dubious transaction. Now, grab your popcorn and enjoy this lesson before the police gets here!"
21,4248,Lesson 4 - Man or Machine,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4248,2019-12-04,True,https://s3contents.chinesepod.com/4248/959b5d017c74f6f34acf2ddc7dd90ead55b6bd94/images/dcd7154a6e391df2c09029686fe6899f4f700a71.jpg,"In today's dialogue, a vending machine is going through an identity crisis and struggling between being a 饭店 or a 商店, as one does. Through this dilemma, we will learn how to use the word 请 to treat somebody to a meal, 但是 to indicate a turn in the statement, and 也 to express 'also'. Let's get started!"
22,4247,Lesson 3 - I’m Just A Car,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4247,2019-12-04,True,https://s3contents.chinesepod.com/4247/ce4f9a91a0bd74279c62ef9429dbc4b3e81e0d77/images/4b529eb66088d4df63cac08b76bc800475e94dd1.jpg,"In today's dialogue, a call was made by mistake, someone was asked out on a date, and I forgot to tell you...this conversation happened between a girl and a car. As confusing as it sounds, you will definitely learn how to say 'I want to...' and 'I don't want to...' using the words 想 and 要 in this lesson, so let's check it out."
23,4246,Lesson 2 - Hello Toilet,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4246,2019-12-04,True,https://s3contents.chinesepod.com/4246/008a06767b09611470487d62535b71cd254a0b52/images/0ce24df5ed3d3635b4b2d3d1daffeb9b5d6feeee.jpg,"In today's dialogue, we're going to learn how to politely greet...your toilet, but of course, you can use the phrases on human beings too. Let's check it out! Disclaimer: No toilet was harmed in today's lesson."
24,4245,Lesson 1 - The Dish,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4245,2019-12-04,True,https://s3contents.chinesepod.com/4245/6596627cda7efec4fc5a1c9b86d502017fdae034/images/e6846a0abf2b4cd8974e433eb9a4d1c5c66a2acc.jpg,"In today's dialogue, a self-introduction was made, and it was quickly followed by a love confession! What's more exciting is that you're going to learn how to express 'I can...' using 会 and 'I am...' using 是. Let's check it out!"
25,4395,“压力山大”？一起看看各国的减压妙招！,Media,Media,https://chinesepod.com/lesson-redirect?v3id=4395,2019-12-03,False,https://s3contents.chinesepod.com/4395/7cf91484d62a79db39c11d966a433b85c0c03556/images/65efdf7d5f2bc4e12b6598716765dea7fb206b44.jpg,"For people on the go, a one stop for you to learn Mandarin from the news!

听新闻，学中文。给脚步匆匆的你带来新鲜简讯！"
26,4264,Continued Tone Change Series #1 - Studying for an Exam,Elementary,Elementary,https://chinesepod.com/lesson-redirect?v3id=4264,2019-11-28,True,https://s3contents.chinesepod.com/4264/62e07d9a8f18940e3af54092b7fd830cbec587f2/images/34313a68f2d711db6b127cdf63e41293a3a8fbcf.jpg,"15:40     


In our previous newbie tone change series, we have introduced the tone change rules for 不, 一, two third tones, and three third tones. 

Just like many other aspects in the Chinese language, tone changes are more nuanced than the rules you see in textbooks. That's why for the elementary tone change series, we decided that we would reinforce the rules with the help of dialogues that you hear in everyday conversations. Practice and familiarize yourselves with the sounds, and you'll be a tone master in no time! First, let's start with the character 一 [yī]."
27,4671,孙子兵法—不只是兵书,Advanced,Advanced,https://chinesepod.com/lesson-redirect?v3id=4671,2019-11-25,False,https://s3contents.chinesepod.com/4671/6ecbffeddedce198d70637ab1326cfb466673b75/images/5e631a42750a9a6cef14836980617fc4cfc3e5cd.jpg,"《孙子兵法》，或《孙子》，是世界上最早的兵书之一，作者是春秋末期军事家、政治家孙武，人称“兵圣”。兵法，顾名思义，是论述用兵打仗的方法，但是《孙子兵法》却对政治、经济、商业等等领域都有着深远的影响。春秋时期的一系列军事学问题，在当今社会究竟有什么实际意义呢？

通过《孙子兵法》系列课程，我们一起来学习吧！"
28,4261,Chopsticks are difficult to use,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4261,2019-11-22,True,https://s3contents.chinesepod.com/4261/6abb0ae648fa860238825b6641c7c74ee20943e9/images/6898b1edb4c45fe8052ad949c637daff180b8334.jpg,"13:4413:44     


Who says you have to use chopsticks to eat Chinese food? If you have not yet mastered your kuàizi skills, then this lesson is for you. Learn how to ask for a fork in a restaurant in today's lesson, let's check it out!"
29,4421,Night life 夜生活，夜经济,Upper Intermediate,Upper Intermediate,https://chinesepod.com/lesson-redirect?v3id=4421,2019-11-19,False,https://s3contents.chinesepod.com/4421/5b1bebaac5a048ab38946fe3a4b9aace572a977a/images/db6f623be0280b2419933b374b69c49cde4996d3.jpg,"中国有些城市享有“不夜城”的美誉，整个夜晚都繁华热闹、车水马龙。酒吧、博物馆、电影院、烧烤摊、商场、卡拉OK，甚至是马路边，都是年轻人享受“夜生活”的据点。


今天我们从两个上班族的视角，来听听他们作为“社畜”怎样缅怀自己的大学生活吧！"
30,4259,Coffee Break Series- 6 Ways to Say Thank You,Pre Intermediate,Pre Intermediate,https://chinesepod.com/lesson-redirect?v3id=4259,2019-11-15,True,https://s3contents.chinesepod.com/4259/0381454e9f3ee2dc2d5d96bee1ef97819c461976/images/67ed9356a53b82885cf247869b8d22c4907510a1.jpg,"7:38     


In the coffee break series, we focus on social etiquette in business settings. In a Chinese workplace, there are certain phrases and words that we use to come off as more polite and respectful. Along the way, we will cover  some common ''How do I respond to that?"" moments in the office. Hopefully, by applying the knowledge you learn in real life, you can avoid miscommunication and bring your business relationships closer.


In this episode, we are going to show you 5 ways to say 'thank you' in a workplace. What do you say when you're thanking your colleague for a favor? How do you express gratitude when you are given a job opportunity? Check out the video and enjoy your coffee break with us!"
31,4258,Character mind map - 还 still,Elementary,Elementary,https://chinesepod.com/lesson-redirect?v3id=4258,2019-11-13,True,https://s3contents.chinesepod.com/4258/92c1b7a98f00e2c05744d6a7388d7687b4744b38/images/9e4eadf195f760cedc86f8d29b4a92be9286da46.jpg,"13:28     


In Chinese, you often encounter single characters that have multiple related meanings. This has the potential to confuse learners because sometimes it is hard to make connections between component characters and their meanings within multiple-character words. That's why we created this Character Mind Map series, where we focus on characters and the words they make up. 


Today, we're talking about 还 and all the interesting words using this character. Let's check them out!"
32,4257,Animal Proverbs - Hit the snake 7 inches below its head,Intermediate,Intermediate,https://chinesepod.com/lesson-redirect?v3id=4257,2019-11-11,True,https://s3contents.chinesepod.com/4257/121adea4ca83eb948d783f40c373096fc05e4f02/images/643ce7d7bc5207e7829c75de2cd05c3c6e34b151.jpg,"8:20     


Animal metaphors are prevalent in almost every language, but people from different cultures may regard the same animal differently. In Chinese proverbs, you will see a lot of animal metaphors to symbolize human actions.

In this lesson, we're showing you three common proverbs related to snakes. They can be directly translated to ""Hit the snake 7 inches below its head"", ""Once got bitten by the snake, and ended up being afraid of the straw ropes for ten years"", and ""A greedy man is like a snake that wants to swallow an elephant"". Do you know what they actually mean? Check out these proverbs and learn how to apply them to daily life!"
33,4239,One Round Trip Ticket,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4239,2019-11-08,True,https://s3contents.chinesepod.com/4239/a58a25e79534c3288c265925ebb162985854d12f/images/5727cec94ff984785590404b66e7c78b8879ba1d.jpg,"12:0812:08     


In today's lesson, we're showing you how to buy a train ticket at the station and some useful direction verbs, let's check it out!"
34,4260,语法课程：程度副词,Upper Intermediate,Upper Intermediate,https://chinesepod.com/lesson-redirect?v3id=4260,2019-11-06,False,https://s3contents.chinesepod.com/4260/a9720e17609432316884b494e201352950f3ed4b/images/1e83167b691e431f587d056a2c3ff0d5076eb494.jpg,"A lesson on superlatives. How would you say kinda hot, very hot, very very hot, extremely hot, crazy hot! **Refer to the table below as you take this lesson.

“今天外面有多热？” 在生活中，动词和形容词可以表达很多意思，但是像前面这个问题需要我们形容热的“程度”，这个时候我们需要用表示程度的词语来回答。这节课一起来学习表示程度的词语吧！

|  极其热；热得不行；热得不得了；热极了   |
                                                             
|  特别热；非常热                                           |
                                                                           
|  热得很；可热了.                                          |
                                                                           
|  挺热的 ; 有点儿热.                                       |"
35,4238,Coffee Break Series- How to say no to your boss,Pre Intermediate,Pre Intermediate,https://chinesepod.com/lesson-redirect?v3id=4238,2019-11-03,True,https://s3contents.chinesepod.com/4238/d1a9792ca31013d483bbdc8c3645d66c4b1b2497/images/90cc261c7183be6cb8d9ae25685c9c673998c414.jpg,"8:36     


In the coffee break series, we focus on social etiquette in business settings. In a Chinese workplace, there are certain phrases and words that we use to come off as more polite and respectful. Along the way, we will cover  some common ''How do I respond to that?"" moments in the office. Hopefully, by applying the knowledge you learn in real life, you can avoid miscommunication and bring your business relationships closer.


In this episode, we are going to show you 5 ways to say 'no' in a workplace. What do you say when you're turning down an offer from your boss? How do you soften the blow when you're rejecting your colleague's dinner invitation? Check out the video and enjoy your coffee break with us!"
36,4237,Character mind map - 公,Elementary,Elementary,https://chinesepod.com/lesson-redirect?v3id=4237,2019-11-01,True,https://s3contents.chinesepod.com/4237/4eac4485f6ac018230b21bcea737c0a0e67d77ce/images/e223682ee365ec011d6bd5aa8e589405ceb0e3bb.jpg,"10:43     


In Chinese, you often encounter single characters that have multiple related meanings. This has the potential to confuse learners because sometimes it is hard to make connections between component characters and their meanings within multiple-character words. That's why we created this Character Mind Map series, where we focus on characters and the words they make up. 


Today, we're talking about 公 and all the interesting words using this character. Let's check them out!"
37,4240,Part 2 人口与粮食：养活14亿人，中国为什么能？,Media,Media,https://chinesepod.com/lesson-redirect?v3id=4240,2019-10-29,False,https://s3contents.chinesepod.com/4240/71a3a5fba183696d973e87ef88b98f02b6f4db83/images/f6874ce9649e8a56f7487c7ceced42ff564dc155.jpg,"For people on the go, a one stop for you to learn Mandarin from the news!

听新闻，学中文。给脚步匆匆的你带来新鲜简讯！"
38,4236,Animal Proverbs: Perform like a workhorse,Intermediate,Intermediate,https://chinesepod.com/lesson-redirect?v3id=4236,2019-10-25,True,https://s3contents.chinesepod.com/4236/612d62e27d01e26cda0ef48d3714f52980515391/images/7e6fcd0876396c76c8f566dd8a7cd6761bc3e37a.jpg,"9:21     


Animal metaphors are prevalent in almost every language, but people from different cultures may regard the same animal differently. In Chinese proverbs, you will see a lot of animal metaphors to symbolize human actions.

In this lesson, we're showing you three common proverbs related to horses. They can be directly translated to ""A good horse doesn't eat the grass behind him"", ""A good horse gallops without stopping"", and ""You meant to pat the horse's butt, but you ended up patting on its leg"". Do you know what they actually mean? Check out these proverbs and learn how to apply them to daily life!"
39,4235,Autumn Poem 山行,Advanced,Advanced,https://chinesepod.com/lesson-redirect?v3id=4235,2019-10-22,False,https://s3contents.chinesepod.com/4235/3ab0fbb1db9d3a310480630353689ff19ddbf2f4/images/23692787e2e81637be34fd5eb0aae6bb6b45485c.jpg,"在“农历”中，我们把秋天分为三个阶段：初秋，仲秋，晚秋，分别对应农历七、八、九月。正是晚秋时节，我们一起来欣赏一首在秋天的末尾登山秋游的诗吧！


杜牧（803年－852年），字牧之，号樊川居士，京兆府万年县（今陕西省西安市）人。晚唐著名诗人，拥有横溢的文学才华和远大的政治抱负，和李商隐并称“小李杜”。"
40,4234,"Master, I'll be late",Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4234,2019-10-19,True,https://s3contents.chinesepod.com/4234/7f5600984ca17468846240fad285ade4df0f5a78/images/fee3b1b99d1b8bdd0b395d36ce1d823ecc41868d.jpg,"11:4811:48     


I know what you're thinking, ""Is this a lesson about Chinese Kung Fu?"" Well, not really, sorry for the misleading thumbnail. Instead in this lesson, we're going to show you how to rush your driver in a taxi, and a very common word for expressing ""Oh I'm finished!"" in Chinese. 

""But...What about the master?"" That's another mystery we're going to solve. Check out the video and find out yourself!"
41,4231,3 ways to use mei 没,Pre Intermediate,Pre Intermediate,https://chinesepod.com/lesson-redirect?v3id=4231,2019-10-16,True,https://s3contents.chinesepod.com/4231/1d6b085de06df105b5274769ee3fdba3775a953d/images/1bdc2c9910c72124a808223e2e3bc3c8eb05eb2b.jpg,"11:42     


In this lesson, we're going to show you three usages of a really common Chinese character 没. They are 没   Verb, 还没   Verb, and when 没 is used for comparison. Let's check them out!"
42,4181,都是谁的错 -不好意思，抱歉，对不起,Upper Intermediate,Upper Intermediate,https://chinesepod.com/lesson-redirect?v3id=4181,2019-10-13,False,https://s3contents.chinesepod.com/4181/38e3c0170fdc9bd68692a85a6974d5828f1b6c80/images/4be3496675419e9c8abfb76754388ed7a92d18cc.jpg,"As the title suggests, these phrases have “varying degrees of sorry”. A useful lesson to learn when to use which one!

道歉也是有不同程度的：是轻微的碰撞，无意的冒犯还是严重的不满呢？在不同场合里，我们表达歉意的方式和语言可能非常不同。听完这一课，你或许会思考，当一个人在表达歉意的时候，他究竟想说些什么呢？

HSK lvl 4
实在  抱歉  不过  道歉  
HSK lvl 5 
不好意思  真实  
HSK lvl 6 
归根到底  明明  拖延  自主  憋"
43,4233,Character mind map:下 down,Elementary,Elementary,https://chinesepod.com/lesson-redirect?v3id=4233,2019-10-09,True,https://s3contents.chinesepod.com/4233/7829b39ac8a2bb97a79079e48c207bebb0790b6b/images/d5a13c8ef6be4551c7ed18e2f645b655514b8639.jpg,"10:13     


In Chinese, you often encounter single characters that have multiple related meanings. This has the potential to confuse learners because sometimes it is hard to make connections between component characters and their meanings within multiple-character words. That's why we created this Character Mind Map series, where we focus on characters and the words they make up. 


Today, we're talking about 下 and all the interesting words using this character. Let's check them out!"
44,4396,Part1人口与粮食：养活14亿人，中国为什么能？,Media,Media,https://chinesepod.com/lesson-redirect?v3id=4396,2019-10-07,False,https://s3contents.chinesepod.com/4396/34412b2dfb00314801b5c3c79c4fc8aaa4c0e7b9/images/0da4d59dadff2221418c96e37c89dd0a727b02de.jpg,"For people on the go, a one stop for you to learn Mandarin from the news!

听新闻，学中文。给脚步匆匆的你带来新鲜简讯！"
45,4232,Animal Proverbs: The weasel wishes the chicken a good year,Intermediate,Intermediate,https://chinesepod.com/lesson-redirect?v3id=4232,2019-10-04,True,https://s3contents.chinesepod.com/4232/161399b027604465d3ef06f684f86e7d50b6a6f2/images/693c11baad8a17ed2edaa44142a0c76c296fe105.jpg,"10:58     


Animal metaphors are prevalent in almost every language, but people from different cultures may regard the same animal differently. In Chinese proverbs, you will see a lot of animal metaphors to symbolize human actions.

In this lesson, we're showing you three common proverbs related to chickens. They can be directly translated to ""The weasel wishes the chicken a good year"", ""Fail to steal the chicken and lose a handful of rice"", and ""When one person achieves the ascension, his chickens and dogs fly up to heaven together"". Do you know what they actually mean? Check out these proverbs and learn how to apply them to daily life!"
46,4230,What do you do for a living?,Newbie,Newbie,https://chinesepod.com/lesson-redirect?v3id=4230,2019-10-01,True,https://s3contents.chinesepod.com/4230/719312dc93b884f0d9c259b748b8f4b6ea133fec/images/c7b06e50565a03ab3ab04874f9e544d4d731ea97.jpg,"11:3811:38     


In this newbie lesson, we're showing you three ways to respond to common questions like ""What do you do for a living?"" or ""What's your job?"". Let's check it out!"
47,4670,Autumn poem  秋日之美—秋詞,Advanced,Advanced,https://chinesepod.com/lesson-redirect?v3id=4670,2019-09-28,False,https://s3contents.chinesepod.com/4670/3a421ba73fda398164a0b10a15004921de6d006a/images/da14dc4ec82dfe30976d75525df7d9d5c158d1cc.jpg,"俗话说，春生夏长，秋收冬藏。秋天在很多文人笔下是万物由盛转衰的时节，十分凄凉、萧瑟。今天我们一起来看一看，唐代大诗人刘禹锡对此有什么不同的看法？

刘禹锡（772年—842年），字梦得，河南洛阳人，唐朝文学家、哲学家，有“诗豪”之称。三十四岁那年由于革新运动失败，被贬到朗州（湖南常德），《秋词》就写于这个时期。"
48,4321,语法课程：“不由得”与“由不得”引发的联想,Upper Intermediate,Upper Intermediate,https://chinesepod.com/lesson-redirect?v3id=4321,2019-09-24,False,https://s3contents.chinesepod.com/4321/261c272f0b0aed0cc803677fccbdfd9f326864f0/images/21e4f410def7f239b50a47edbda359d1326e9707.jpg,"语法课程看起来好有趣，我不由得想要学习......
不想学也得学，这可由不得你！
一起来学习“不由得”、“由不得”等几个相似词语的用法吧！"
49,4228,How to use sincere expressions in Chinese,Pre Intermediate,Pre Intermediate,https://chinesepod.com/lesson-redirect?v3id=4228,2019-09-22,True,https://s3contents.chinesepod.com/4228/277f0de18d220f6571094397be0f2643aecfffe5/images/fa559e4191d9c5f4852367c8bcaafb520a3c2efa.jpg,"9:18     


Want to sound like a native Chinese speaker? Today we're showing you 3 useful structures when making expressions. They are Adj. 得不得了, Adj. 得很, and Adj. 死了. Let's check them out!"
